id_evento,Estacion,Real_izq_der,Estimacion_izq_der,Real_distance,Estimacion_distance,Real_baz,Estimacion_baz,Distancia_Costa,costero,lat,lon
2014_04_05 11_58_25_M4_6,PATCX,1.0,1.0,93.33775097,91.9189376831055,305.692149933646,294.713775634766,3.527,1.0,-20.3273,-70.8788
2014_04_09 11_14_46_M5_2,GO01,1.0,1.0,191.4374307,205.398254394531,238.1612086,242.76496887207,101.981,1.0,-20.5739,-70.754
2014_04_10 00_10_32_M4_7,PATCX,1.0,1.0,91.28992063,86.4034042358398,305.594110868039,295.378967285156,3.527,1.0,-20.3393,-70.8638
2014_04_15 16_21_17_M5_1,PSGCX,1.0,1.0,92.12014622,91.8126983642578,224.239856008963,238.072372436523,8.904,1.0,-20.1923,-70.738
2014_04_20 07_54_56_M5_0,GO01,1.0,1.0,190.6368691,181.049224853516,262.0571137,267.911102294922,101.981,1.0,-19.8974,-70.9973
2014_04_24 04_56_50_M4_8,PSGCX,1.0,1.0,91.99311679,85.4111099243164,231.629852661992,245.756454467773,8.904,1.0,-20.1117,-70.8128
2014_05_05 09_02_55_M4_9,GO01,1.0,1.0,193.607593,182.038619995117,282.4088273,274.285247802734,101.981,1.0,-19.2837,-70.9931
2014_05_17 17_55_47_M4_2,CO02,1.0,1.0,87.69737559,109.356101989746,195.0695696,179.650726318359,61.890,0.0,-31.9672,-71.2415
2014_05_27 17_38_35_M4_2,CO02,1.0,1.0,127.6435737,115.786056518555,276.595756,285.463745117187,61.890,1.0,-31.0646,-72.3289
2014_05_28 10_27_03_M4_5,CO02,1.0,1.0,137.6419818,145.165771484375,212.2138045,209.357620239258,61.890,1.0,-32.2516,-71.7789
2014_06_04 17_04_26_M5_1,GO01,1.0,1.0,201.1105428,196.012649536133,236.4803744,240.054443359375,101.981,1.0,-20.6644,-70.8032
2014_06_04 17_04_26_M5_1,GO01,1.0,1.0,201.1105428,196.012649536133,236.4803744,240.054443359375,101.981,1.0,-20.6644,-70.8032
2014_06_04 17_04_26_M5_1,TA01,1.0,1.0,65.80153428,73.9895935058594,260.3216648,284.826141357422,1.311,1.0,-20.6644,-70.8032
2014_06_04 17_04_26_M5_1,TA01,1.0,1.0,65.80153428,73.9895935058594,260.3216648,284.826141357422,1.311,1.0,-20.6644,-70.8032
2014_06_07 19_10_58_M4_8,PSGCX,1.0,1.0,118.2908713,98.4155883789063,255.982760019864,259.956207275391,8.904,1.0,-19.8527,-71.2188
2014_06_12 12_28_54_M4_8,CO02,1.0,1.0,60.61630464,73.5663604736328,349.1372196,324.472045898437,61.890,0.0,-30.6667,-71.1195
2014_06_16 23_19_54_M4_2,GO03,1.0,1.0,104.9600554,81.2426834106445,233.3367282,214.524749755859,66.152,1.0,-28.1566,-71.0919
2014_06_19 19_59_45_M5_3,PSGCX,1.0,1.0,81.20341844,64.4943313598633,250.515471420152,258.510925292969,8.904,1.0,-19.8404,-70.8539
2014_06_20 20_22_27_M5_8,PSGCX,1.0,1.0,90.7340175,92.9308624267578,257.631253477609,258.827941894531,8.904,1.0,-19.7708,-70.9688
2014_07_01 01_17_34_M4_2,GO01,1.0,1.0,142.303776,137.028625488281,230.0228178,226.291320800781,101.981,1.0,-20.4913,-70.2395
2014_07_13 20_54_14_M5_6,GO01,1.0,1.0,137.2537391,140.618408203125,241.3881014,252.990921020508,101.981,1.0,-20.2585,-70.3475
2014_07_26 07_31_44_M5_0,CO02,1.0,1.0,154.418006,155.181762695313,307.3995895,308.293182373047,61.890,1.0,-30.3514,-72.2762
2014_08_06 23_44_07_M4_3,CO02,1.0,1.0,53.51024,100.412414550781,229.4254554,243.660171508789,61.890,0.0,-31.5169,-71.4282
2014_09_25 19_04_05_M4_5,CO02,1.0,1.0,73.65958339,66.0892105102539,235.4059319,236.420333862305,61.890,1.0,-31.5793,-71.6391
2014_10_26 02_52_53_M4_7,GO01,1.0,1.0,178.5961154,166.1259765625,236.8166339,238.325912475586,101.981,1.0,-20.5457,-70.6275
